<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.05	03:00:00	2112.217	2113.969	2111.233	2112.961	2773	0	200
2024.03.05	04:00:00	2112.984	2115.986	2112.600	2115.898	2601	0	199
2024.03.05	05:00:00	2115.847	2119.630	2115.299	2119.215	3467	0	199
2024.03.05	06:00:00	2119.214	2119.547	2115.278	2117.214	3727	0	199
2024.03.05	07:00:00	2117.184	2117.715	2113.921	2114.449	3838	0	199
2024.03.05	08:00:00	2114.495	2123.363	2114.438	2120.596	5383	0	199
2024.03.05	09:00:00	2120.650	2125.389	2118.946	2124.494	4848	0	199
2024.03.05	10:00:00	2124.478	2127.325	2123.284	2123.728	4381	0	199
2024.03.05	11:00:00	2123.731	2127.157	2122.513	2124.431	4644	0	199
2024.03.05	12:00:00	2124.434	2125.290	2121.087	2124.377	4636	0	199
2024.03.05	13:00:00	2124.415	2141.881	2122.367	2127.757	15184	0	199
2024.03.05	14:00:00	2127.771	2133.247	2124.181	2128.188	12358	0	199
2024.03.05	15:00:00	2128.224	2139.537	2123.715	2126.618	16367	0	199
2024.03.05	16:00:00	2126.574	2128.764	2123.634	2128.296	7892	0	199
2024.03.05	17:00:00	2128.283	2130.971	2127.495	2130.838	4826	0	199
2024.03.05	18:00:00	2130.832	2133.538	2129.534	2130.758	4883	0	199
2024.03.05	19:00:00	2130.791	2134.710	2129.492	2129.524	4581	0	199
2024.03.05	20:00:00	2129.485	2130.963	2128.408	2129.644	4069	0	200
2024.03.05	21:00:00	2129.589	2130.063	2127.008	2127.860	2165	0	200
2024.03.05	23:00:00	2127.461	2128.290	2126.656	2128.162	1513	0	599
2024.03.06	00:00:00	2127.777	2128.105	2126.041	2126.783	2927	0	199
2024.03.06	01:00:00	2126.815	2128.000	2125.052	2125.498	3593	0	199
2024.03.06	02:00:00	2125.483	2126.755	2123.859	2126.326	2883	0	199
2024.03.06	03:00:00	2126.326	2126.593	2123.604	2124.697	2677	0	199
2024.03.06	04:00:00	2124.716	2126.366	2124.716	2126.178	2226	0	199
2024.03.06	05:00:00	2126.132	2127.966	2125.178	2125.244	2800	0	199
2024.03.06	06:00:00	2125.235	2127.532	2124.843	2127.270	2963	0	199
2024.03.06	07:00:00	2127.311	2131.466	2126.984	2128.478	3858	0	199
2024.03.06	08:00:00	2128.430	2129.219	2124.299	2125.077	4861	0	199
2024.03.06	09:00:00	2125.042	2129.851	2124.741	2128.558	4091	0	199
2024.03.06	10:00:00	2128.578	2128.704	2124.623	2125.606	3982	0	199
2024.03.06	11:00:00	2125.603	2132.603	2125.530	2132.474	3880	0	199
2024.03.06	12:00:00	2132.519	2135.114	2130.952	2134.166	4268	0	199
2024.03.06	13:00:00	2134.106	2139.648	2131.412	2139.386	10477	0	199
2024.03.06	14:00:00	2139.416	2149.189	2135.609	2144.850	10274	0	199
2024.03.06	15:00:00	2144.819	2145.613	2131.886	2140.924	15337	0	199
2024.03.06	16:00:00	2140.891	2149.887	2140.374	2148.220	8702	0	199
2024.03.06	17:00:00	2148.248	2149.961	2141.835	2144.728	7309	0	199
2024.03.06	18:00:00	2144.727	2152.234	2143.948	2147.133	6944	0	199
2024.03.06	19:00:00	2147.137	2147.461	2139.385	2144.309	6571	0	199
2024.03.06	20:00:00	2144.259	2147.233	2143.114	2146.620	3775	0	199
2024.03.06	21:00:00	2146.567	2149.301	2144.468	2148.071	2730	0	199
2024.03.06	23:00:00	2147.824	2150.978	2145.826	2147.192	2328	0	599
2024.03.07	00:00:00	2146.851	2149.592	2146.851	2148.786	3854	0	199
2024.03.07	01:00:00	2148.833	2148.969	2144.185	2146.161	5207	0	199
2024.03.07	02:00:00	2146.212	2152.008	2145.608	2150.706	4610	0	199
2024.03.07	03:00:00	2150.650	2152.494	2149.587	2151.709	3293	0	199
2024.03.07	04:00:00	2151.718	2161.588	2151.659	2158.241	7071	0	199
2024.03.07	05:00:00	2158.202	2158.740	2154.345	2154.498	4822	0	199
2024.03.07	06:00:00	2154.441	2156.513	2151.477	2155.353	5429	0	199
2024.03.07	07:00:00	2155.403	2158.226	2152.168	2155.951	5402	0	199
2024.03.07	08:00:00	2156.003	2159.830	2154.403	2155.270	5325	0	199
2024.03.07	09:00:00	2155.283	2157.742	2154.271	2157.575	4703	0	200
2024.03.07	10:00:00	2157.626	2158.943	2156.058	2157.598	4371	0	199
2024.03.07	11:00:00	2157.603	2157.735	2153.254	2155.941	4754	0	199
2024.03.07	12:00:00	2155.950	2158.775	2153.863	2158.326	4589	0	199
2024.03.07	13:00:00	2158.294	2164.753	2157.318	2159.426	11435	0	199
2024.03.07	14:00:00	2159.452	2159.756	2147.866	2153.958	11559	0	199
2024.03.07	15:00:00	2153.909	2157.660	2151.612	2153.701	8994	0	199
2024.03.07	16:00:00	2153.694	2158.526	2149.223	2156.088	7839	0	199
2024.03.07	17:00:00	2156.124	2158.797	2155.227	2158.180	4923	0	199
2024.03.07	18:00:00	2158.147	2159.265	2156.071	2157.046	4291	0	199
2024.03.07	19:00:00	2157.091	2160.907	2156.120	2159.990	3686	0	199
2024.03.07	20:00:00	2159.945	2160.420	2157.949	2158.545	3625	0	199
2024.03.07	21:00:00	2158.575	2159.687	2158.238	2159.569	1878	0	199
2024.03.07	23:00:00	2158.643	2161.465	2158.540	2161.465	1846	0	599
2024.03.08	00:00:00	2161.641	2163.567	2159.679	2160.782	3337	0	199
2024.03.08	01:00:00	2160.799	2161.742	2157.645	2157.833	3535	0	199
2024.03.08	02:00:00	2157.842	2158.386	2154.874	2155.302	3535	0	199
2024.03.08	03:00:00	2155.305	2158.681	2153.954	2157.578	2986	0	199
2024.03.08	04:00:00	2157.581	2159.254	2156.315	2157.677	2582	0	199
2024.03.08	05:00:00	2157.724	2158.344	2156.369	2157.681	3018	0	199
2024.03.08	06:00:00	2157.679	2162.032	2156.399	2161.168	3580	0	199
2024.03.08	07:00:00	2161.123	2161.886	2159.021	2161.345	4402	0	199
2024.03.08	08:00:00	2161.294	2168.706	2161.056	2165.118	5420	0	199
2024.03.08	09:00:00	2165.170	2171.114	2164.540	2169.019	5353	0	199
2024.03.08	10:00:00	2169.073	2170.508	2166.594	2168.421	4528	0	199
2024.03.08	11:00:00	2168.449	2169.665	2166.243	2168.221	4116	0	199
2024.03.08	12:00:00	2168.225	2169.288	2165.905	2166.056	4052	0	199
2024.03.08	13:00:00	2165.977	2185.415	2156.306	2171.090	18839	0	199
2024.03.08	14:00:00	2171.060	2174.706	2163.683	2170.823	16731	0	199
2024.03.08	15:00:00	2170.879	2177.338	2167.808	2177.165	9452	0	199
2024.03.08	16:00:00	2177.210	2180.893	2172.194	2180.625	7392	0	199
2024.03.08	17:00:00	2180.690	2195.153	2180.690	2184.889	12825	0	199
2024.03.08	18:00:00	2184.847	2184.985	2173.833	2174.303	8422	0	199
2024.03.08	19:00:00	2174.351	2177.802	2168.278	2176.435	6617	0	199
2024.03.08	20:00:00	2176.465	2178.187	2175.648	2177.276	3949	0	199
2024.03.08	21:00:00	2177.229	2179.047	2176.850	2178.502	2104	0	199
2024.03.10	22:00:00	2179.559	2181.061	2177.122	2177.122	1983	0	199
2024.03.10	23:00:00	2177.114	2183.825	2177.114	2181.567	3762	0	199
2024.03.11	00:00:00	2181.592	2189.012	2179.438	2186.676	4557	0	199
2024.03.11	01:00:00	2186.723	2186.787	2178.897	2180.256	5722	0	199
2024.03.11	02:00:00	2180.248	2180.384	2176.861	2177.443	3703	0	199
2024.03.11	03:00:00	2177.391	2180.269	2176.943	2179.462	3325	0	199
2024.03.11	04:00:00	2179.469	2181.478	2179.469	2180.643	2592	0	200
2024.03.11	05:00:00	2180.635	2181.604	2176.814	2178.076	3695	0	199
2024.03.11	06:00:00	2178.117	2179.933	2177.219	2179.444	3635	0	199
2024.03.11	07:00:00	2179.455	2182.742	2177.906	2182.200	4301	0	199
2024.03.11	08:00:00	2182.242	2183.083	2176.573	2177.441	4905	0	199
2024.03.11	09:00:00	2177.407	2181.496	2175.792	2180.458	5024	0	199
2024.03.11	10:00:00	2180.427	2180.757	2176.817	2177.661	4039	0	199
2024.03.11	11:00:00	2177.673	2179.454	2176.418	2178.888	3852	0	199
2024.03.11	12:00:00	2178.924	2180.662	2176.350	2177.159	6333	0	199
2024.03.11	13:00:00	2177.087	2185.094	2174.633	2181.690	8539	0	199
2024.03.11	14:00:00	2181.661	2183.217	2175.387	2181.930	8157	0	199
2024.03.11	15:00:00	2181.945	2185.651	2180.014	2184.270	6190	0	199
2024.03.11	16:00:00	2184.290	2184.648	2178.544	2180.832	5065	0	199
2024.03.11	17:00:00	2180.864	2184.111	2178.207	2179.639	4964	0	199
2024.03.11	18:00:00	2179.697	2180.920	2177.104	2180.837	3934	0	199
2024.03.11	19:00:00	2180.793	2184.160	2180.598	2181.291	3813	0	199
2024.03.11	20:00:00	2181.329	2182.897	2180.996	2182.687	1863	0	199
2024.03.11	22:00:00	2181.478	2184.651	2180.563	2181.201	1754	0	599
2024.03.11	23:00:00	2181.131	2183.693	2181.131	2183.552	2771	0	199
2024.03.12	00:00:00	2183.551	2184.483	2180.238	2180.407	3001	0	199
2024.03.12	01:00:00	2180.450	2183.041	2179.958	2182.743	3483	0	199
2024.03.12	02:00:00	2182.742	2182.878	2178.583	2179.074	3512	0	200
2024.03.12	03:00:00	2179.021	2179.079	2176.763	2177.469	3141	0	199
2024.03.12	04:00:00	2177.472	2179.143	2177.158	2178.194	2436	0	199
2024.03.12	05:00:00	2178.191	2179.156	2174.131	2176.153	3454	0	200
2024.03.12	06:00:00	2176.102	2177.127	2173.533	2175.268	4204	0	199
2024.03.12	07:00:00	2175.291	2177.334	2174.683	2176.924	4174	0	199
2024.03.12	08:00:00	2176.880	2178.480	2175.994	2177.780	4066	0	199
2024.03.12	09:00:00	2177.797	2179.046	2176.314	2176.964	4161	0	199
2024.03.12	10:00:00	2176.944	2177.620	2175.395	2176.439	3727	0	199
2024.03.12	11:00:00	2176.411	2176.592	2170.567	2171.956	4833	0	199
2024.03.12	12:00:00	2171.934	2181.967	2160.921	2169.744	18466	0	199
2024.03.12	13:00:00	2169.701	2169.905	2156.114	2160.411	21132	0	199
2024.03.12	14:00:00	2160.463	2166.424	2152.550	2162.010	11431	0	199
2024.03.12	15:00:00	2161.969	2164.958	2157.530	2163.015	7612	0	199
2024.03.12	16:00:00	2163.007	2166.515	2161.451	2165.748	4827	0	199
2024.03.12	17:00:00	2165.743	2165.743	2154.760	2155.045	6028	0	199
2024.03.12	18:00:00	2155.000	2156.520	2152.868	2153.513	5014	0	199
2024.03.12	19:00:00	2153.509	2157.379	2150.467	2157.314	4075	0	199
2024.03.12	20:00:00	2157.299	2158.978	2156.119	2158.459	2074	0	199
2024.03.12	22:00:00	2158.076	2161.193	2155.964	2158.642	2896	0	599
2024.03.12	23:00:00	2158.635	2159.113	2155.752	2156.915	2876	0	199
2024.03.13	00:00:00	2156.907	2160.427	2156.527	2159.193	3402	0	199
2024.03.13	01:00:00	2159.222	2159.544	2157.292	2158.530	3757	0	199
2024.03.13	02:00:00	2158.581	2161.503	2157.361	2160.368	3357	0	199
2024.03.13	03:00:00	2160.374	2160.742	2157.435	2159.057	2965	0	200
2024.03.13	04:00:00	2159.056	2159.672	2157.224	2159.244	2660	0	199
2024.03.13	05:00:00	2159.249	2160.572	2158.643	2160.012	3202	0	199
2024.03.13	06:00:00	2159.968	2161.499	2158.361	2159.433	3437	0	199
2024.03.13	07:00:00	2159.411	2160.731	2158.501	2159.648	4069	0	199
2024.03.13	08:00:00	2159.689	2161.080	2157.851	2158.181	4280	0	199
2024.03.13	09:00:00	2158.136	2160.228	2157.508	2158.470	4291	0	199
2024.03.13	10:00:00	2158.443	2163.597	2158.063	2163.306	3932	0	199
2024.03.13	11:00:00	2163.290	2164.168	2161.510	2163.925	4004	0	199
2024.03.13	12:00:00	2163.924	2166.248	2162.127	2163.499	6525	0	199
2024.03.13	13:00:00	2163.543	2171.527	2161.375	2166.043	11339	0	199
2024.03.13	14:00:00	2166.068	2169.716	2163.426	2168.790	7268	0	199
2024.03.13	15:00:00	2168.747	2174.523	2168.137	2171.759	6985	0	199
2024.03.13	16:00:00	2171.706	2174.716	2169.536	2173.583	5895	0	199
2024.03.13	17:00:00	2173.561	2179.800	2173.149	2174.501	7084	0	199
2024.03.13	18:00:00	2174.514	2176.512	2174.252	2174.763	3939	0	199
2024.03.13	19:00:00	2174.781	2175.529	2171.676	2172.546	3675	0	199
2024.03.13	20:00:00	2172.497	2175.223	2172.274	2174.568	2448	0	199
2024.03.13	22:00:00	2174.129	2175.253	2173.521	2174.428	1351	0	600
2024.03.13	23:00:00	2174.448	2176.209	2174.448	2175.361	2084	0	199
2024.03.14	00:00:00	2175.448	2176.570	2173.983	2176.221	2770	0	200
